Method,Frobenius Error,Time(s)
ALS-N,6.50e-04 $\pm$1.19e-05,1.70e+02 $\pm$3.39e+01
ALS-I,7.01e-04 $\pm$1.56e-05,2.74e+01 $\pm$5.25e+00
