Method,Frobenius Error,Diamond Error,Time(s)
ALS-$N^2$,3.42e-04 $\pm$4.66e-05,4.23e-04 $\pm$9.63e-05,1.22e+01 $\pm$5.84e+00
ALS-P,1.02e-03 $\pm$2.11e-04,1.29e-03 $\pm$2.49e-04,1.23e-01 $\pm$2.97e-02
ALS-N,1.18e-03 $\pm$2.98e-04,1.59e-03 $\pm$4.63e-04,4.88e-02 $\pm$2.85e-03
ALS-I,1.40e-03 $\pm$2.79e-04,1.84e-03 $\pm$3.50e-04,2.90e-01 $\pm$2.43e-02
