Method,Frobenius Error,Diamond Error,Time(s)
ALS-$N^2$,4.87e-04 $\pm$2.38e-05,4.32e-04 $\pm$6.47e-05,1.25e+01 $\pm$4.91e+00
ALS-P,2.13e-03 $\pm$3.67e-04,2.26e-03 $\pm$6.34e-04,3.07e-01 $\pm$3.37e-02
ALS-N,1.61e-03 $\pm$3.88e-04,1.68e-03 $\pm$6.63e-04,1.33e-01 $\pm$2.30e-02
ALS-I,1.79e-03 $\pm$5.22e-04,1.94e-03 $\pm$9.60e-04,5.61e-02 $\pm$1.50e-02
