Method,Frobenius Error,Time(s)
ALS-$N^2$,2.31e-04 $\pm$1.55e-05,4.76e+02 $\pm$7.07e+01
ALS-P,8.99e-04 $\pm$1.07e-04,2.40e+00 $\pm$3.02e-01
ALS-N,6.23e-04 $\pm$7.15e-05,8.61e-01 $\pm$3.52e-02
ALS-I,6.45e-04 $\pm$7.27e-05,2.87e-01 $\pm$2.14e-02
