Method,Frobenius Error,Time(s)
ALS-N,1.79e-04 $\pm$1.07e-05,1.45e+02 $\pm$2.17e+01
ALS-I,1.93e-04 $\pm$1.16e-05,2.50e+01 $\pm$3.70e+00
