Method,ALS-N^2,ALS-P,ALS-N,ALS-I
Frobenius error,7.83e-04 $\pm$6.59e-05,1.91e-03 $\pm$1.94e-04,1.44e-03 $\pm$1.86e-04,1.69e-03 $\pm$2.96e-04
Diamond error,7.23e-04 $\pm$7.41e-05,1.96e-03 $\pm$4.57e-04,1.32e-03 $\pm$3.34e-04,1.59e-03 $\pm$3.23e-04
Time (s),4.817 $\pm$0.915,0.340 $\pm$0.158,0.086 $\pm$0.012,0.056 $\pm$0.012
Frobenius error,5.77e-04 $\pm$3.03e-05,8.54e-04 $\pm$1.08e-04,5.99e-04 $\pm$7.37e-05,6.29e-04 $\pm$7.63e-05
Time (s),305.486 $\pm$22.798,  2.152 $\pm$ 0.358,  0.692 $\pm$ 0.040,  0.376 $\pm$ 0.025
Frobenius error,*,*,1.92e-04 $\pm$4.23e-05,2.11e-04 $\pm$5.72e-05
Time (s),*,*,217.392 $\pm$35.446, 30.138 $\pm$ 5.324
